,county,inspector,siteName,Permittee,reportNumber,permit,date,sitecondition,sitestatus,EvidenceCollected,Compliance,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Q_9,Q_10,Q_11,Q_12,Q_13,Q_14,Q_15,Q_16,Q_17,Q_18,Q_19,Q_20,Q_21,Q_22,Q_23,Q_24,Q_25,Q_26,Q_27,Q_28,Q_29,Q_30,comments
1684,Garrett,MONGOLD,Aaron Mine No. 1,ARJ Construction,DM111-140819-FIR,DM-00-111,8/19/14,N,A,VO,no answer given,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,No,5/1/15,N/A,N/A,N/A,N/A,N/A,N/A,"During an internal office review of the permit it was discovered that the operator has not submitted the required monthly tonnage report for the month of June 2014. This report was due on July 25, 2014.  The Operator is in violation of the Annotated Code of Maryland / Environmental Title  ?15-615(a) which states; By the twenty-fifth day of each month, a deep mine operator shall file a monthly progress report with the Secretary on a form furnished by the Secretary. In the report, the operator shall indicate the tonnage of coal removed.  A violation is being issued this date.     "
638,Garrett,MURRAY,Pee Wee Hill Mine,"G & S Coal Company, Inc",435-140819-fir,SM-00-435,8/19/14,C,A,VO,no answer given,Yes,Yes,Yes,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,12/10/14,"On site review of the permit area this date, discussed permit area with Troy and Ted Schwinabart. Reviewed the backfilling area on Increment II and according to Troy there has been 2 dozer designated to backfill on the area this week. Reviewed Pond 003 area: Some of the work on the area has been completed, but the rest of the work is pending the weather according to Ted. Reviewed Pond 004 area: Pond construction continuing.  Silt fence needs additional attention on the bend of the silt fence the operator needs to add additional stakes to help support the bend of the silt fence, and tighten the silt fence when the added stakes are placed. Also discussed with Ted to repair gullies on the Planting Report 9, on Increment I on the Bakerstown and Harlem Coal Seam areas and the area On Increment II that was just planted last year, that is also on the Bakerstown Coal Seam area.   "
542,Allegany,SCHARTIGER,Hampshire Hill Mines,Tri Star Mining Inc.,436-140819-FIR,SM-03-436,8/19/14,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,11/1/14,Yes,Yes,Yes,Yes,Yes,11/1/14,"On site review today for the purpose of inspections and enforcement for the Maryland Bureau of Mines.  The site is active today with mining operations at both ends of the permit. All perimeter markers are installed. The operator is preparing several areas for seeding and mulching that will be completed in the next month.  No other issues noted.  Any questions, please call this inspector at (301) 697-0344    "
1340,Garrett,MURRAY,Wolfden Mine,Vindex Energy Corp.,459-140819-fir,SM-11-459,8/19/14,C,A,A,no answer given,Yes,Yes,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7/31/14,N/A,N/A,N/A,N/A,N/A,N/A,On site review of the permit area this date with Travis the Foreman for the Operator. Little water in pit area. Reviewed Freeport area the operator is mining this date.  Overburden from the Freeport Coal Seam area is being placed in the pit where the spoil seep has been present. Removing coal from the Freeport Coal Seam.   
1741,Garrett,MONGOLD,Messenger/Harlem Mine,"G & S Coal Company, Inc",455-140818-FIR,SM-08-455,8/18/14,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,N/A,N/A,N/A,Yes,No,N/A,12/10/14,Yes,Yes,Yes,Yes,Yes,12/31/14,The operator was backfilling with one dozer on this date.  Drainage and sediment control facilities were functioning properly. Pond #1 was not discharging. The water in this structure field tested a 7.1 pH. Water monitoring reports are being submitted on time with no violations noted.  There has not been any blasting on this permit during this quarterly inspection period.  The operator needs to complete a section of the backfill by fall and is reminded to continue backfilling 40 hrs. /week until the site is contemporaneous. There can be no additional mining/coal removal until the site is contemporaneous.       
1990,Garrett,MONGOLD,Snake Hill Yard No. 1,"G & S Coal Company, Inc",SC120-140818-FIR,SC-07-120,8/18/14,C,A,VO,no answer given,Yes,Yes,Yes,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,No,Yes,events.,N/A,N/A,N/A,N/A,N/A,N/A,12/10/14,Yes,Yes,N/A,this,N/A,N/A,An inspection of this coal storage facility was conducted today.  No activity or changes since my last inspection.  Pond #1 was not discharging. Water in the structure field tested a 7.4 pH.      
1094,Garrett,SCHARTIGER,Paugh Tract/ Potomac Camp,Laoc Corp.,450-140818-FIR,SM-06-450,8/18/14,C,C,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,Yes,No,No,No,N/A,No,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,N/A,"On Site review today for the purpose of inspections and enforcement for the Maryland Bureau of Mines.  Seeding and mulching is scheduled for next month on the Tasker Tract. Rill repairs will be made at that time.  Pond #5 has no discharge, pH-8.4, SC-110, Temperature 74 degrees.  Any questions regarding this inspection, please call this inspector at (301) 697-0344      "
1024,Garrett,MONGOLD,Russell Farm,"Savage Mountain Minerals, Inc.",448-140818-FIR,SM-05-448,8/18/14,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,9/30/14,Yes,Yes,Yes,Yes,Yes,12/31/14,"On site inspection of this surface coal mine permit with Savage Mt. Foreman Roy Hartman.  Removing overburden off of the #2 Franklin coal seam today.  Drainage and sediment controls are functioning properly. Pond #4 was not discharging. Water in the structure field tested an 8.9 pH. Water monitoring reports are being submitted on time with no violations noted.  Blasting reports are on file with no violations noted.  The operator is reminded that the permit boundary markers need to be updated to the required standard by the September deadline which consist of the permit boundary markers being; 5' steel fence post at least 2 feet into the ground with a 3"" min. white pvc pipe, 5 foot long, placed over the steel post and the top 1 foot painted red.  If you have any questions regarding these requirements, please contact this Inspector.     "
80,Allegany,SCHARTIGER,Koontz Mine,"Beechwod Coal, LLC",FIR,SM-08-403,8/15/14,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,N/A,N/A,N/A,Yes,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"On site review today for the purposes of inspections and enforcement for the Maryland Bureau of Mines.  The permit site is active today. Repairs have been made at the areas where rills were forming. Lime and fertilizer is being applied to the most recently planted areas. Additional seeding and mulching is being performed at the bare areas. Both Pond #2 and #4 are empty.  No issues noted.  Any questions or concerns regarding this inspection, please call this inspector at (301) 697-0344.    "
8,Allegany,MURPHY,Silt Pit,"Beechwod Coal, LLC",359-140814-FIR,SM-08-359,8/14/14,no answer given,A,VO,N/A,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No discharge today.  Pond levels are low. Reveg review with Mark Carney present finds 3 acres eligible for phase 2 bond release as per planting report #1.     
451,Allegany,MONGOLD,Jackson Mountain Mine,Arch Coal / Vindex Energy Corp.,432-140813-FIR,SM-99-432,8/13/14,C,A,VO,no answer given,Yes,Yes,Yes,N/A,Yes,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,Yes,No,No,site.,N/A,N/A,Yes,Yes,Yes,7/31/15,Yes,Yes,N/A,N/A,N/A,N/A,  This was a revegetation review for Phase II standards for success conducted with the LRC.  On this date Planting Report #6 containing 28 acres and was reviewed for Phase II standards for success.  The revegetation on Planting Report #6 does meet the standards for success and an application for bond release can be filed with the BOM.  Two D-11 dozers were working on backfilling operations.  The haulroad is being maintained in good condition.   
883,Garrett,MONGOLD,Crawford Farm,Tri Star Mining Inc.,444-140813-FIR,SM-03-444,8/13/14,N,C,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,Yes,complete.,No,11/1/14,Yes,Yes,N/A,N/A,N/A,N/A,  This was a revegetation review for Phase II standards for success conducted with the LRC.  On this date Planting Report #6 containing 6 acres and Planting Report #7 containing 13 acres was reviewed for Phase II standards for success.  The revegetation on Planting Report #6 does meet the standards for success and an application for bond release can be filed with the BOM.  The revegetation on Planting Report #7 does not meet the standards for success because of bare areas that have been repaired but do not have sufficient growth yet and because of some rills due to recent storm events.    
541,Allegany,MONGOLD,Hampshire Hill Mines,Tri Star Mining Inc.,436-140813-FIR,SM-03-436,8/13/14,C,A,VO,no answer given,Yes,Yes,Yes,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,No,11/1/14,Yes,Yes,N/A,N/A,N/A,11/1/14, This was a revegetation review for Phase II standards for success conducted with the LRC.  On this date Planting Report #4 containing 13 acres and Planting Report #5 containing 15 acres was reviewed for Phase II standards for success.  The revegetation on Planting Report #4 does meet the standards for success and an application for bond release can be filed with the BOM.  The revegetation on Planting Report #5 does not meet the standards for success because of insufficient amount of trees on this particular area.    
980,Allegany,MURPHY,Commonwealth Mine,"Beechwod Coal, LLC",447-140812-FIR,SM-05-447,8/12/14,C,I,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,No,No,No,No,No,No,Yes,No,No,No,blasting,N/A,N/A,Yes,Yes,.,11/23/14,Yes,Yes,Yes,Yes,Yes,No,No discharge today.  Little change on site.  Inactive status until 9-26-14. Mark Carney present on site today to review reveg.  There are 9 acres eligible for phase 2 & 3 bond release.  This area did not meet permit requirements for bond release due to the presents of rills and a weak spot in the reveg. greater than 300 sq ft.   
201,Allegany,MURPHY,Common Wealth,"Jenkins Development, Inc.",411-140812-FIR,SM-87-411,8/12/14,C,A,VO,no answer given,Yes,Yes,Yes,N/A,N/A,N/A,Yes,No,No,No,No,No,No,Yes,No,No,No,N/A,N/A,N/A,Yes,Yes,.,9/20/14,Yes,Yes,Yes,Yes,Yes,N/A,"Pond #1 and all associated perimeter controls are reclaimed and there is no mining drainage directed to outfall # 001.  Outfall # 001 is therefore eliminated from the NPDES Permit and monitoring of #001 is no longer required. Revegetation recently reviewed with Mark Carney observed the following: 1. Planting Reports # 18,19,and 21 appear to meet permit requirements for phase 2 bond release with # 18 also meeting phase #3 requirements. 2. Planting Report # 20 did not pass due to the presence of gullies and weak spots. "
202,Allegany,MURPHY,Common Wealth,"Jenkins Development, Inc.",411-140812-FIR,SM-87-411,8/12/14,C,A,VO,no answer given,Yes,Yes,Yes,N/A,N/A,N/A,Yes,No,No,No,No,No,No,Yes,No,No,No,N/A,N/A,N/A,Yes,Yes,.,9/20/14,Yes,Yes,Yes,Yes,Yes,N/A,No discharge today.   Planting Report # 20 gullies and weak spots are being repaired. DMR's are current and appear in good order. 
157,Allegany,MURPHY,Harvey Mine,"Ritchie Trucking & Excavating, Inc.",140812-FIR,SM-86-407,8/12/14,C,C,VO,N/A,Yes,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,Yes,N/A,N/A,N/A,Yes,N/A,N/A,The site is completed and perimeter controls reclaimed. Mark Carney and I recently reviewed this site for 33 acres eligible for phase 2 bond release as per Planting Report #3.   This area meets permit requirements for phase 2 bond release.     
1171,Allegany,MURPHY,Midlothian Barnes Mine,"Clise Coal Co., Inc.",449-140811-FIR,SM-05-449,8/11/14,no answer given,C,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,9/20/14,N/A,Yes,N/A,Yes,N/A,N/A,"I recently reviewed 11 acres for phase 2 bond release as per Planting Report #2 with Mark Carney present.  The area did not meet permit requirements for bond release.  There is a weak spot upgrade of the diversion apron which needs lime, sludge pellets and seed and mulch.  There is also a similar spot downgrade of the diversion where the haybales are stored.  Considering the weather pattern this summer, there is no reason that fall seeding of theses areas can't begin now as per our phone conversation this morning.     "
1229,Garrett,MURPHY,Duckworth Mine,"G & S Coal Company, Inc",454-140811-FIR,SM-07-454,8/11/14,no answer given,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,No,No,No,No,No,No,Yes,P-2,No,pit,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,Yes,Yes,Yes,Yes,12/31/14,I recently received a complaint of a collapsed well at the Paugh residence adjacent to the Bakerstown seam  Met with Mark Hajas to collect data and interview the complainant.  The complaint will be processed by Mark. No  one working on site. 1. Continue backfilling on a daily basis  until notified by the Bureau of Mines that reclamation is contemporaneous. 2. Treat water in Bakerstown pit to meet permit limits and pump out so that pit backfilling can begin.      
1311,Garrett,SCHARTIGER,Althouse Hill Mine,Laoc Corp.,458-140811-FIR,SM-11-458,8/11/14,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,the,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"On site review today with for the purpose of inspections and enforcement for the Maryland Bureau of Mines  The site is not active today. Pond #1 is not discharging, pH-8.1. All Sediment and Erosion Controls are in place and appear to be functioning properly.  Backfilling is in progress at the upper portion of the permit.  No problems or issues were observed today.   Any questions regarding this inspection, please contact this inspector at (301) 697-0344     "
1187,Allegany,SCHARTIGER,Walker Mine,"Walker Bros. Mining, Inc.",453-140811-FIR,SM-07-453,8/11/14,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,permit,N/A,N/A,Yes,Yes,above,Yes,Yes,Yes,Yes,Yes,Yes,N/A,"On site review today for the purpose of inspections and enforcement for the Maryland Bureau of Mines  The site is active today with mining operations in progress. There is no discharge from either pond today.  DMR's are current and appear in good order. The Open Acre Limit has been increased from 14 to 20 acres (OPA No 14-25). Trees will need to be removed on the old Pond #2. Additional lime, fertilizer and seeding will be required above the coal pad area.   Any questions regarding this inspection, please call Ron Schartiger at (301) 697-0344     "
1949,Allegany,MONGOLD,Frostburg Loadout,Arch Coal / Vindex Energy Corp.,SC118-140808-FIR,SC-87-118,8/8/14,C,I,VO,no answer given,Yes,Yes,Yes,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,7/31/14,Yes,Yes,N/A,N/A,N/A,N/A,"This site has a ""Temporary Cessation of Mining Activities"" good until 12/31/14.  The sediment and drainage control system is working properly. The ponds were not discharging.  No problems or concerns were observed during this inspection.       "
1137,Allegany,MURPHY,Federal Hill Mine,"Beechwod Coal, LLC",451-140808-FIR,SM-06-451,8/8/14,no answer given,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,No,No,No,No,No,No,Yes,No,No,No,12/31/14,Yes,Yes,Yes,Yes,Yes,11/23/14,Yes,Yes,Yes,Yes,Yes,Yes,No discharge today.  Mining and backfilling in progress.      Pond #1 and all associated perimeter controls are reclaimed and there is no mining drainage directed to outfall # 001.  Outfall # 001 is therefore eliminated from the NPDES Permit and monitoring of #001 is no longer required.      
1398,Ga,SCHARTIGER,Underwood Mine,Laoc Corp.,460-140808-FIR,SM-12-460,8/8/14,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,No,No,No,Yes,No,Yes,pH=7.7,No,Yes,the,N/A,N/A,Yes,Yes,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"On site review today for the purpose of inspection and enforcement for the Maryland Bureau of Mines.  Site is active today. Trap #1 is discharging with a pH of 7.7. Lime is deposited at the Old Deep Mine entry to treat water.  All Sediment and Erosion Controls are in place and functioning properly.  Trap #1 has been cleaned and several additional sumps have been added to the ditch lines to help eliminate sediment buildup in the trap. A flocculating agent is being used to treat the high turbidity issues.  No problems were observed with today's inspection.  Any questions regarding this inspection, please call this inspector at (301)697-0344.     "
1921,Allegany,MONGOLD,Clark Tipple,Tri Star Mining Inc.,117-140808-FIR,SC-87-117,8/8/14,C,A,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,No,No,events.,N/A,N/A,N/A,N/A,N/A,N/A,11/1/14,Yes,Yes,N/A,N/A,N/A,N/A,On site inspection conducted today of this coal loading facility.  Sediment and drainage control facilities are functioning properly. Pond #1 was nearly dry and not discharging.  Maintain the treatment system by keeping soda ash Bricketts in the treatment system.  Coal is being stockpiled on this site and then loaded for shipment.       
622,Allegany,MONGOLD,Naked Lake/Cabin Run,Arch Coal / Vindex Energy Corp.,439-140807-FIR,13-SP-1100,8/7/14,C,A,P,no answer given,Yes,Yes,N/A,Yes,Yes,Yes,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,N/A,7/31/14,Yes,Yes,N/A,N/A,N/A,2/14/15," At 02:20 AM I received a call from Vindex Energy Safety Manager Hillary Strawser. She stated that an accident occurred at this operation at approximately 12:50 AM involving a D-11 Dozer that went over the highwall. She stated that MSHA had been contacted and that the dozer operator was not seriously injured. Also she stated that a rescue operation involving the local Fire Departments is under way to recover the dozer operator.  I responded to the mine site and found that Fire/Rescue personnel were in the process of rescuing the dozer operator (Dave Bosley) via a scree evacuation operation.  At 04:13 I contacted BOM Director John Carey and advised him of the accident and ongoing rescue operation.  At approximately 04:37 AM the dozer operator was hoisted to the top of the highwall and taken to the ambulance for transport to the Western Maryland Regional Medical Center for evaluation. He was later released after medical staff evaluated his condition.  At 05:26 AM I contacted BOM Inspector Ron Schartiger to assist me with the investigation.  MSHA issued a 103(j) Citation/Order #8060224 which states that this order is being issued to prevent the destruction of any evidence that would assist in the investigation the cause or causes of the accident. It prohibits all activity at the Borden Pit except for the recovery of the victim until MSHA has determined that it is safe to resume normal mining operations in this area.  At 08:17 I contacted BOM Acting Director Al Hooker and briefed him of the situation.  After reviewing the accident seen at daylight, the MSHA Order was modified to allow the operator to implement the ""Bulldozer Recovery Plan"" dated 8/7/14. All equipment used in rescue operations were released from this order with the exception of the Cat D11 Dozer #048, involved in the accident. Once this dozer is recovered it may be moved to a safe location within the pit where it will remain under order, preventing any work or movement of the dozer until MSHA can inspect the machine.  When Mr. Bosley returned to the mine site after being evaluated at the hospital, MSHA conducted an interview with him. He stated that he thought that he was pushing an access off the shot material down to the Tyson bench.  At the conclusion of our investigation it was determined that the operator was working to close too the highwall edge and had mistaken where he was trying to make access down to the Tyson bench.  This investigation is complete except for the recovery of the Cat D-11 dozer. Vindex Energy Mine Superintendent Rodney Tichinel is to contact this Inspector when the recovery of the D-11 dozer is in its final stages.  The cooperation between Vindex Energy Staff, MSHA and the local Fire/Rescue Departments was excellent. This made for a good outcome of an extremely dangerous rescue operation that resulted no serious injury or loss of life.      "
338,Allegany,MONGOLD,Barton North Mine,Arch Coal / Vindex Energy Corp.,427-140807-FIR,SM-96-427,8/7/14,C,C,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,No,A).,N/A,N/A,N/A,N/A,&,Yes,7/31/15,Yes,Yes,N/A,N/A,N/A,N/A,This was a Bond Release Application inspection conducted with BOM Revegetation Specialist Mark Carney and OSM Inspector Joe Montrella.  On this date Planting Report #3 containing 7 acres was reviewed for Phase III Bond Release and Planting Report #6 containing 12 acres was reviewed for Phase II Bond Release.  The revegetation and trees on these two areas does meet the standards for success and were approved on this date.  Continue removing the stockpiled coal at the coal processing yard so that this area can be reclaimed.  The haulroad is being maintained in good condition.     
450,Allegany,MONGOLD,Jackson Mountain Mine,Arch Coal / Vindex Energy Corp.,432-140807-FIR,SM-99-432,8/7/14,C,A,VO,no answer given,Yes,Yes,Yes,N/A,Yes,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,No,Yes,No,No,site.,N/A,N/A,Yes,Yes,Yes,7/31/15,Yes,Yes,N/A,N/A,N/A,N/A,  This was a Bond Release Application inspection conducted with BOM Revegetation Specialist Mark Carney and OSM Inspector Joe Montrella.  On this date Planting Report #5 containing 18 acres was reviewed for Phase II Bond Release. The revegetation and trees on this area does meet the standards for success and was approved on this date.  Two D-11 dozers were working on backfilling operations.  The haulroad is being maintained in good condition. 
126,Allegany,SCHARTIGER,Koontz Mine,"Clise Coal Co., Inc.",404-140807-FIR,SM-86-404,8/7/14,C,C,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,YES,No,No,No,N/A,N/A,N/A,Yes,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"On site review of the permit area for the purpose of inspections and enforcement for the Maryland Bureau of Mines.  All ponds and drainage controls have been removed from the permit except for Pond C and Pond #1 as per the landowners request for those two structures to remain. All areas have been graded, seeded and mulched.  Additional reclamation will be required around the old haul road and coal yard areas as well as the installation of a culvert just east of the Koontz Cemetery. The remaining reclamation was discussed with the operator, Tom Clise, and will be completed in the coming months. Clise Coal is to submit all engineering of the culvert pipe and size to the Bureau of Mines, Permitting Section for approval before any work at the culvert location begins.  Additional seeding and mulching has been performed at the reclaimed Pond #3 location.  Any questions regarding this inspection, please contact this inspector @ (301) 697-0344.    "
586,Allegany,MURPHY,Watertank Pittsburg Mine,"Cobra Mining, Inc.",437-140807-FIR,SM-01-437,8/7/14,no answer given,A,VO,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,needed,Yes,Yes,Yes,Yes,Yes,Yes,5/27/15,Yes,Yes,Yes,N/A,Yes,Yes,"No discharge today.  Perimeter controls are intact and functional.  Mark Carney is present to review 9 acres eligible for phase 2 release as per Planting Report # 2.  Due to lack of trees and the presence of gullies, this area does not meet permit requirements for phase 2 bond release.     "
264,Garrett,MURPHY,Manor Hill Job,"G & S Coal Company, Inc",421-140807-FIR,SM-92-421,8/7/14,no answer given,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,needed,Yes,Yes,Yes,Yes,Yes,Yes,12/10/14,Yes,Yes,Yes,Yes,Yes,Yes,"No discharge today.   Mining with dragline in progress.    Revegetation review today. Reviewed 8 acres of phase 2  reclamation as per Planting Report # 9.  There is an earth berm present that needs to be blended in and an adjoining bare area that needs seed and mulch. This area does not meet permit requirements for bond release. We reviewed 3 acres of phase 2 reclamation as per planting report # 11.  There is a stockpile on the upgrade edge of this area that needs to be returned to original contour.  There are gullies present in the reveg and a pronounced highwall brow that needs to be blended in. .  Due to the presence of the items listed above, this area does not meet permit requirements for bond release.  .        Backfilling  in progress of the northern end of the pit.  Continue backfilling for a minimum of 40 hrs.per week until notified by the Bureau of Mines that reclamation is contemporaneous.     "
769,Garrett,SCHARTIGER,Beechwood Mine,Vindex Energy Corp.,SM-02-442-140806-FIR,SM-02-442,8/6/14,C,I,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,N/A,"On site review today for inspection and enforcement for the Maryland Bureau of Mines.  Pond #1 is empty. Site is in inactive status. Road repairs and brush cutting is complete.  No problems or issues were observed.  Any questions regarding this inspection, please call this inspector at (301) 697-0344       "
365,Allegany,MONGOLD,Carlos Mine,Arch Coal / Vindex Energy Corp.,393-140805-FIR,SM-84-393,8/5/14,C,I,VO,no answer given,Yes,Yes,Yes,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,7/31/15,Yes,Yes,N/A,N/A,N/A,11/4/13,This site has an approved temporary cessation of mining activities that expires on 12/31/2014.  This site was visited today as part of the ARRI Conference field trip.  The Carlos mine site was reviewed as an example of reclamation using the Forest Reclamation Approach.   
1884,Allegany,SCHARTIGER,Franklin Coal Yard,Franklin Coal Yard LLC,SC116-140804-FIR,SC-87-116,8/4/14,C,A,VO,no answer given,Yes,Yes,N/A,Yes,N/A,N/A,Yes,Yes,No,No,No,Yes,No,Yes,No,No,#1,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,N/A,"On site review today with Brandon Moran for purposes of inspections and enforcement for the Maryland Bureau of Mines.  Site active today with coal blending, loading and stock piling. Operator is watering haul roads. Lime is deposited in the inlets of Pond #1 and Sump #1 to treat water. Sump #1 is empty and Pond #1 only has a small amount of water with no discharge. Ditch maintenance has recently been performed and all of the ditch lines are in good order.  No problems were observed.  Any questions, please contact this inspector at (301) 697-0344     "
728,Garrett,SCHARTIGER,Wildman Mine,"G & S Coal Company, Inc",441-140804-FIR,SM-02-441,8/4/14,C,C,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,reclaimed,N/A,N/A,N/A,Yes,N/A,N/A,No,No,No,N/A,N/A,N/A,Yes,N/A,Yes,Yes,N/A,Yes,N/A,Yes,Yes,N/A,"On site review today for the purpose of inspections and enforcement for the Maryland Bureau of Mines.  I met with Mr. Wildman, Ted Schwinabart and Troy Schwinabart today to discuss the removal of the remaining haul road.  The sink hole on the Wildman Tract is repaired. Rills have been repaired on the Bernard Tract where the perimeter ditch was reclaimed last summer. Rill repair on the Wildman Tract is in process. Completion of the haul road removal is scheduled for the later part of this month.  Any questions regarding this inspection, please contact this inspector at (301)697-0344.   "
1093,Garrett,SCHARTIGER,Paugh Tract/ Potomac Camp,Laoc Corp.,450-140730-FIR,SM-06-450,7/30/14,C,C,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,Yes,No,No,No,N/A,No,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,N/A,"On Site review today with Mark Careny for the purpose of inspections and enforcement for the Maryland Bureau of Mines.  Today's inspection is for re-vegetation reviews on Planting Reports #2, #3 and #4. Report #2 is for Phase 3 Bond release on 7 acres. The area has good vegetative cover and this inspector feels that all of the requirements for re-vegetation for Phase #3 Bond Release have been met.  Planting Reports #3 (8 acres) and #4 (8 acres) do not have the 90% vegetative cover that is required for Phase 2 Bond Release. Therefore, the LRC will not be visiting this permit next month.  The operator will need to refer to the Field Inspection Report dated 7/14/14 for direction.  Any questions regarding this inspection, please call this inspector at (301) 697-0344      "
1317,Garrett,SCHARTIGER,Althouse Hill Mine,Laoc Corp.,458-140730-FIR,SM-11-458,7/30/14,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,the,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"On site review today with Mark Carney for the purpose of inspections and enforcement for the Maryland Bureau of Mines  Today's inspection is for re-vegetation reviews on Planting Report #1. Report # 1 is for Phase 2 Bond Release on 3 acres. The area does not have the 90% vegetative cover that is required for Phase 2 Bond Release. Therefore, The LRC will not be reviewing this permit next month.  The operator is to repair rills, add lime, fertilizer, seed and mulch as needed to prepare the area for spring 2015 LRC review.   Any questions regarding this inspection, please contact this inspector at (301) 697-0344     "
